1294,66,78079,7807,694,69,564,56,9987869847,998786984,7375618298,737561829,p2p
1294,66,78079,7807,694,69,564,56,9987869847,998786984,7375618298,737561829,p2p
1497,66,93093,8463,843,76,618,56,30460124700,2769102245,26448931887,2404448353,p2p
1513,66,93093,8463,859,78,618,56,22962889944,2087535449,22605059540,2055005412,p2p
1551,66,93093,8463,897,81,618,56,27443444551,2494858595,26239632106,2385421100,p2p
11273,66,72409,3811,10169,535,1050,55,60930033286,3206843857,55111443245,2900602276,p2p
11441,66,72610,3630,10277,513,1104,55,60979769005,3048988450,53747351916,2687367595,p2p
4507,74,209738,6554,2339,73,2168,67,44419944894,1388123277,41197328841,1287416526,p2p
17726,66,868102,18470,14958,318,2630,55,30126631199,640992153,27647322575,588240905,p2p
25028,66,1148114,19795,21630,372,3236,55,132851787889,2290548067,130493740786,2249892082,p2p
39118,66,2007533,23343,34088,396,4808,55,219870904896,2556638429,213422959007,2481662314,p2p
11273,66,72409,3811,10169,535,1050,55,60930033286,3206843857,55111443245,2900602276,p2p
20752,66,856461,17478,17864,364,2762,56,121203267997,2473536081,112875232391,2303576171,p2p
17321,66,1689544,41208,14901,363,2306,56,70255256143,1713542832,65548497375,1598743838,p2p
11441,66,72610,3630,10277,513,1104,55,60979769005,3048988450,53747351916,2687367595,p2p
18769,66,757131,14020,15605,288,3020,55,32931876211,609849559,32536308554,602524232,p2p
1833,66,76801,10971,1413,201,402,57,9438795254,1348399322,7268293568,1038327652,p2p
924,66,76288,12714,558,93,348,58,16206018810,2701003135,8939394155,1489899025,p2p
17726,66,868102,18470,14958,318,2630,55,30126631199,640992153,27647322575,588240905,p2p
25028,66,1148114,19795,21630,372,3236,55,132851787889,2290548067,130493740786,2249892082,p2p
1294,66,78079,7807,694,69,564,56,9987869847,998786984,7375618298,737561829,p2p
1294,66,78079,7807,694,69,564,56,9987869847,998786984,7375618298,737561829,p2p
1497,66,93093,8463,843,76,618,56,30460124700,2769102245,26448931887,2404448353,p2p
1513,66,93093,8463,859,78,618,56,22962889944,2087535449,22605059540,2055005412,p2p
1551,66,93093,8463,897,81,618,56,27443444551,2494858595,26239632106,2385421100,p2p
11273,66,72409,3811,10169,535,1050,55,60930033286,3206843857,55111443245,2900602276,p2p
11441,66,72610,3630,10277,513,1104,55,60979769005,3048988450,53747351916,2687367595,p2p
4507,74,209738,6554,2339,73,2168,67,44419944894,1388123277,41197328841,1287416526,p2p
17726,66,868102,18470,14958,318,2630,55,30126631199,640992153,27647322575,588240905,p2p
25028,66,1148114,19795,21630,372,3236,55,132851787889,2290548067,130493740786,2249892082,p2p
39118,66,2007533,23343,34088,396,4808,55,219870904896,2556638429,213422959007,2481662314,p2p
11273,66,72409,3811,10169,535,1050,55,60930033286,3206843857,55111443245,2900602276,p2p
20752,66,856461,17478,17864,364,2762,56,121203267997,2473536081,112875232391,2303576171,p2p
17321,66,1689544,41208,14901,363,2306,56,70255256143,1713542832,65548497375,1598743838,p2p
11441,66,72610,3630,10277,513,1104,55,60979769005,3048988450,53747351916,2687367595,p2p
18769,66,757131,14020,15605,288,3020,55,32931876211,609849559,32536308554,602524232,p2p
1833,66,76801,10971,1413,201,402,57,9438795254,1348399322,7268293568,1038327652,p2p
924,66,76288,12714,558,93,348,58,16206018810,2701003135,8939394155,1489899025,p2p
17726,66,868102,18470,14958,318,2630,55,30126631199,640992153,27647322575,588240905,p2p
25028,66,1148114,19795,21630,372,3236,55,132851787889,2290548067,130493740786,2249892082,p2p
